Feature,AUC,Cohens_d,r_pb,p_pointbis,p_MW,LBW_mean,Norm_mean
birth_interval,0.5762,-0.2232,-0.0739,0.0081,0.0014,31.284,40.786
birth_order,0.5669,-0.1477,-0.0491,0.0793,0.0043,2.241,2.472
iron_days,0.5584,-0.2252,-0.0733,0.0087,0.0164,85.241,104.879
maternal_age,0.5466,-0.1483,-0.0493,0.078,0.0546,28.586,29.555
residence_type,0.5335,0.1391,0.0462,0.0983,0.0983,1.691,1.624
wealth_score,0.5225,-0.0912,-0.0303,0.2783,0.3537,-5775.92,2652.945
anc_first_timing,0.5213,0.073,0.0222,0.4274,0.3941,3.121,3.007
marital_status,0.5196,0.0134,0.0044,0.8737,0.3679,1.469,1.459
education_yrs,0.5116,-0.0379,-0.0126,0.6524,0.6265,11.772,11.933
region,0.5094,-0.0246,-0.0082,0.7701,0.6981,8.759,8.873
iron_supplement,0.5081,0.0503,0.0191,0.4956,0.5702,0.917,0.902
household_size,0.506,-0.0363,-0.0121,0.6663,0.8029,6.086,6.171
tetanus_shots,0.5019,-0.0459,-0.0153,0.5855,0.9358,1.735,1.801
