Parameter,Label,Value_Tested,Is_Baseline,OOF_PR_AUC,OOF_ROC_AUC
max_depth,Max Tree Depth,1.0,,0.13927,0.53505
max_depth,Max Tree Depth,2.0,,0.14127,0.54076
max_depth,Max Tree Depth,3.0,YES,0.14323,0.54101
max_depth,Max Tree Depth,4.0,,0.14587,0.55035
max_depth,Max Tree Depth,5.0,,0.15052,0.55471
max_depth,Max Tree Depth,6.0,,0.14854,0.55445
learning_rate,Learning Rate (eta),0.01,,0.14127,0.54076
learning_rate,Learning Rate (eta),0.03,,0.13635,0.52341
learning_rate,Learning Rate (eta),0.05,YES,0.13812,0.51692
learning_rate,Learning Rate (eta),0.08,,0.14053,0.50867
learning_rate,Learning Rate (eta),0.1,,0.13964,0.50864
learning_rate,Learning Rate (eta),0.15,,0.1452,0.51924
min_child_weight,Min Child Weight,1.0,,0.14375,0.539
min_child_weight,Min Child Weight,3.0,,0.14356,0.53875
min_child_weight,Min Child Weight,5.0,YES,0.14367,0.53927
min_child_weight,Min Child Weight,7.0,,0.14462,0.5416
min_child_weight,Min Child Weight,10.0,,0.14307,0.54005
min_child_weight,Min Child Weight,15.0,,0.14127,0.54076
subsample,Row Subsampling Rate,0.5,,0.1408,0.54132
subsample,Row Subsampling Rate,0.6,,0.14238,0.54262
subsample,Row Subsampling Rate,0.7,,0.14237,0.54414
subsample,Row Subsampling Rate,0.8,YES,0.14127,0.54076
subsample,Row Subsampling Rate,0.9,,0.14014,0.53876
subsample,Row Subsampling Rate,1.0,,0.14048,0.53459
reg_lambda,L2 Regularization (lambda),0.5,,0.1424,0.54042
reg_lambda,L2 Regularization (lambda),1.0,,0.14199,0.54035
reg_lambda,L2 Regularization (lambda),2.0,YES,0.14255,0.54053
reg_lambda,L2 Regularization (lambda),3.0,,0.14171,0.54081
reg_lambda,L2 Regularization (lambda),5.0,,0.14127,0.54076
reg_lambda,L2 Regularization (lambda),8.0,,0.1412,0.54082
