Threshold,Recall,Precision,F1,TP,FN,FP,FP_per_TP,Referral_%,Selected
0.1,1.0,0.1266,0.2247,162,0,1118,6.9,100.0,
0.15,1.0,0.1266,0.2247,162,0,1118,6.9,100.0,
0.2,1.0,0.1266,0.2247,162,0,1118,6.9,100.0,
0.25,1.0,0.1266,0.2247,162,0,1118,6.9,100.0,
0.3,0.9938,0.1264,0.2242,161,1,1113,6.9,99.5,
0.35,0.9877,0.128,0.2266,160,2,1090,6.8,97.7,
0.4,0.9691,0.1298,0.2289,157,5,1053,6.7,94.5,
0.45,0.9198,0.1372,0.2388,149,13,937,6.3,84.8,
0.5,0.5741,0.1515,0.2397,93,69,521,5.6,48.0,← SELECTED
0.55,0.0864,0.2121,0.1228,14,148,52,3.7,5.2,
0.6,0.0123,0.5,0.0241,2,160,2,1.0,0.3,
0.65,0.0,0.0,0.0,0,162,0,inf,0.0,
0.7,0.0,0.0,0.0,0,162,0,inf,0.0,
